"Lodobren","Vznamka","Scrna_lista","Sst_odobritev","Dcrna_lista","Dst_pogodb","Vletnik","Vmpc","Veurotax","Lpolog","Lobrestna_mera","Splacilni_indeks","Szapadlo_neplacano","Sobligo","Ltrajanje_meseci","Sneto_placa","Srazpolozljiv_od_z_malico_in_prevozom","Sstarost","Strajanje_zaposlitve","Sposta","Sdrzavljanstvo","Sdrzavljanstvo_eu","SDtip","SDst_zaposlenih","SDdoba_poslovanja","SDprihodki","SDodstotek_kapitala_v_bilancni_vsoti","SDposlovni_izid","SDblokada_racuna","SDinsolventnost","SDcrna_lista"
"DA","OPEL","NE",0,"NE",2037,0,13649.99,0,80,5.99,NA,NA,2988.48,12,764.93,515.89,66,"UPOKOJENEC","SI-8","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","BMW","NE",0,"NE",2745,2,26300,3.36,70,9.25,0,0,9065.52,36,1439.78,1361.81,42,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","FIAT","NE",1,"NE",522,0,31780.71,0,0,4.57,1.01,0,55781.36,24,1918.23,1567.54,36,"NEDOLOCEN CAS","SI-4","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",89.48,22,119047230,10.27,1467387,"NE","NE","NE"
"DA","BMW","NE",0,"NE",910,0,41949,0,80,5.71,NA,NA,8389.8,60,2556.74,2542.24,41,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",5,3,542096,17.92,17453,"NE","NE","NE"
"NE","RENAULT","NE",0,"NE",489,3,11000,13.88,20,11.34,9.86,0,12170.16,72,804.4,542.03,57,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",122.6,23,15037785,37.14,621589,"NE","NE","NE"
"NE","AUDI","NE",0,"NE",34,4,12990,10.89,25.94,10.34,NA,NA,13555.92,84,616,292.97,33,"NEDOLOCEN CAS","SI-9","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",4.54,3,180580,25.11,4339,"NE","NE","NE"
"DA","HYUNDAI","NE",0,"NE",2348,0,16510,0,31.71,4.75,NA,NA,11275.28,60,571.16,406.05,67,"UPOKOJENEC","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"NE","VOLKSWAGEN","NE",3,"NE",95,3,16200,-15.83,20,7.59,11.11,157.39,25006.73,72,1456.67,836.01,47,"NEDOLOCEN CAS","SI-2","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
"DA","PEUGEOT","NE",0,"NE",292,5,8800,-0.48,31.82,7.59,0.01,0,7282.56,48,1098.86,720.4,37,"NEDOLOCEN CAS","SI-1","SLOVENIA","DA","JAVNI SEKTOR, UPOKOJENCI",1257,26,147862926,41.69,11486991,"NE","NE","NE"
"NE","KIA","NE",0,"NE",7538,0,23260,0,10.75,4.7,NA,NA,20759.76,84,1283.94,1036.8,75,"UPOKOJENEC","SI-1","SLOVENIA","DA","SVOBOD. POKL., TUJINA, D",0,0,0,0,0,"NE","NE","NE"
